Part,Ward,Booth Address,Total,
1540008,16,"Nammura Sarakari Madari Prathamika Shale, Room No-2",1022,
1540009,17,"Navkis Educational Centre, Room No.1",1395,
1540010,17,"Navkis Educational Center, Room No.2",1460,
1540011,16,"B.E.L. (C B S E) Vidyalaya,Room No-1",1049,
1540012,16,"B.E.L. (CBSE) Vidyalaya, Room No.2",421,
1540013,16,"Mother Theresa English Primary and High School, Room No-1",484,
1540014,16,"Mother Theresa English Primary and High School, Room No-2",1038,
1540015,16,"Mother Theresa English Primary and High School, Room No-3",981,
1540016,16,"Mother Theresa English Primary and High School, Room No-4",997,
1540017,16,"Mother Theresa English Primary and High School, Room No-5",1068,
1540018,16,"St Claret School,   Room No-1",1056,
1540019,16,"St Claret School,   Room No-2",863,
1540020,16,"St. Claret School, Room No-3",1065,
1540021,16,"St.Claret School,5th Cross, Sharadambhanagara, Jalahalli, Room No-4",1320,
1540022,16,"St.Claret School,Room No-5",1342,
1540023,16,"St. Claret School,  Room No-6",1311,
1540024,38,"Govt. Junior College, Peenya, Room No.1",949,
1540025,38,"Govt. Junior College,  Peenya,  Room No.2 Bengaluru-560058",1061,
1540026,16,"Orchids, The International School Room No-3",1146,
1540027,16,"Nammura Sarakari Kiriya Prathamika Shale, Kathanagara, Jalahalli West, Room No.1",1190,
1540028,16,"Nammura sarakari Madari Prathamika Shale, Jalahalli, Room No.3",947,
1540029,16,"Nammura sarakari kiriya Prathamika Shale, Kathanagara, Jalahalli West, Room No.2",1240,
1540030,38,"B.B.M.P. Ward Office, Ashwathkatte Road, Room No-1",1574,
1540031,38,"Nagara Kendra Library Ashwathkatte Road, Peenya, Room No.1",1342,
1540032,38,"Govt. Higher Primary School, Tumkur Road, Room No-1",1439,
1540033,38,"Govt. Higher Primary School, Tumkur Road, Room No-2",1468,
1540034,16,"Sabari Higher Primary School, Room No. 1",704,
1540035,38,"Sabari Higher Primary School, 2nd Cross, S.M. Road, Shabarinagar,  Room No-2",1243,
1540036,38,"PES Kannada School, New Extension, Room No 1 SRS, Bengaluru-560058",1331,
1540037,38,"PES Kannada School, New Extension, Room No-2 SRS, Bengaluru-560058",1017,
1540038,38,"Govt. P.U. College, New Building, Peenya, Room No- 1",1298,
1540039,38,"Govt. P.U. College, New Building, Peenya, Room No- 2",1041,
1540040,38,"Govt. P.U. College, New Building, Peenya, Room No- 3",1229,
1540041,38,"Govt. P.U. College, New Building, Peenya, Room No- 4",1294,
1540042,38,"Anganavadi Kendra, Room No-1",1374,
1540043,38,"Dr.B.R Ambedkar Bhavan 18th cross, Peenya Harijana colony Room No.1",1365,
1540044,38,"Sri Vidya Kendra Nursery & Primary School, Room No- 1",1105,
1540045,38,"Sri Vidya Kendra Nursery &  Primary School, Room No- 2",810,
1540046,38,"Sri Vidya Kendra Nursery & Primary School, Room No- 3",595,
1540047,38,"Sri Vidya Kendra Nursery & Primary School, Room No-4",600,
1540048,38,"Govt. Junior College, Room No- 1",898,
1540049,17,Navkis Educational Center Room No.3,1135,
1540050,17,Navkis Educational Center Room No.4,1078,
1540051,17,"B.B.M.P. Nursery School, Room-01",1166,
1540052,17,"B.B.M.P. Nursery School, Room-02",1106,
1540053,17,Navkis Educational Center Room No.5,787,
1540054,17,"C.M. National Composite Pre University College, 10th Main Road, Mutyalanagara, Room No.1",782,
1540055,17,"Humming Bird Nursery and Primary School,  Room No-1",788,
1540056,17,"C.M.National High School, 10th Main road Muthyalanagar, Room No.5",846,
1540057,17,"Humming Bird Nursery and Primary School, Room No-2",944,
1540058,17,"Humming Bird Nursery and Primary School, Room No-3",646,
1540059,17,"C.M. National Composite Pre Univercity, 10th Main Road, Mutyalanagara, Room No-2",970,
1540060,17,"C.M. National Composite Pre Univercity, 10th Main Road, Mutyalanagara, Room No-3",1259,
1540061,17,"C.M. National High School,  Room No-1",1342,
1540062,17,"C.M. National High School,  Room No-2",788,
1540063,17,"C.M. National High School,   Room No-3",1342,
1540064,17,"C.M. National High School, Room No-4",1096,
1540065,17,"Open Air Theatre, BBMP Park,  Room No-1",1203,
1540066,17,"Open Air Theatre,BBMP Park,Room No-2",978,
1540067,17,"B.B.M.P. Revenue Tax Collection Help Centre, Room No.1",1207,
1540068,17,"B.B.M.P. Engineering Ward Office,Room No-1",870,
1540069,17,"St. Pauls English High School,   Room No-1",1025,
1540070,17,"St. Pauls English High School, Room No-2",714,
1540071,17,"Dr. M C Modi School,Room No. 1",1243,
1540072,17,"Five ""H""English high School, Room No.1",1371,
1540073,17,"Dr. M.C.Modi School,Room No.2",930,
1540074,17,"Five 'H' English School, Room No.2",1420,
1540075,17,"Five 'H' English School, Room No.3",1446,
1540076,17,"Five 'H' English School, Room No.4",901,
1540077,17,"Five 'H' English School, Room No.5",734,
1540078,37,"Childrens Education Centre, Room No.1",1384,
1540079,37,"Childrens Education centre, Room No.2",996,
1540080,37,"Childrens Education centre, Room No.3",1480,
1540081,17,"St. Pauls English High School, Room No.3",1036,
1540082,17,"St. Pauls English High School, Room No.4",770,
1540083,17,"St Paul's English High School,  Room No-5",1174,
1540084,17,"St Paul's English High School,  Room No-6",770,
1540085,17,"St Paul's English High School, Room No-7",1393,
1540086,17,"St. Pauls English High School, Room No.8",1211,
1540087,17,"B B M P Revenue Tax Collection Help Centre,  Room No-2",1041,
1540088,38,"National Public School, Pipe Line Road, Yashawanthpur, Room No: 1",1463,
1540089,38,"National Public School, Pipe Line Road, Yashawanthpur, Room No- 2",1149,
1540090,38,"National Public School, Pipe Line Road, Yashawanthpur, Room-3",1196,
1540091,38,"Satwik Vidya Mandir, 2nd Main Road, 2nd Block, Goraguntepalya Room No: 1",804,
1540092,38,"Satwik Vidya Mandira, 2nd Main Road, 2nd Block, Goraguntepalya, Room No - 2",730,
1540093,42,"Govt High School, 2nd Cross, Room No-1",1138,
1540094,42,"Govt High School, 2nd Cross, Goraguntepalya, Room No-2",1048,
1540095,38,"Vinod English School, Room No-1",1017,
1540096,38,"Vinod English School, Room No-2",674,
1540097,42,"Govt Higher Primary School, Room No-1",1135,
1540098,42,"Govt Higher Primary School, Room No-2",1393,
1540099,38,S.V.S. Narsury and SVS pandunranga high school 3rd Main 1st Block Goraguntepalya Room No- 1,996,
1540100,38,"SVN Nursary, Higher Primery School And SVS Panduranga High School, 3rd Main Road, 1st Block, Goraguntepalya, Room No-2",772,
1540101,38,"Vinoda English School, Room No-3",1512,
1540102,38,"Satwik Vidya Mandir, 2nd Main Road, 2nd Block, Goraguntepalya Room No-3",1265,
1540103,38,"Satwik Vidya Mandir, 2nd Main Road, 2nd Block, Goraguntepalya Room No-4",1297,
1540104,38,B B M P Ward Office,870,
1540105,42,"Govt. Higher Primary School, Room No-1",975,
1540106,42,Govt. Higher Primary School Room No-2,913,
1540107,42,"Veena Vidya Samsthe, Lakshmidevinagara Room No-1",1169,
1540108,42,"Veena Vidya Samsthe, Lakshmidevinagara, Room No-2",945,
1540109,42,"Veena Vidya Samsthe, Room No-3",1312,
1540110,42,"Veena Vidya Samsthe, Room No-4",1307,
1540111,42,"Jnanavahini  Public School, Room No-1",1315,
1540112,42,"Jnanavahini  Public School, Room No-2",1422,
1540113,42,"Jnanavahini Public School, Room No.3",1377,
1540114,42,"Jnanavahini Public School, Room No.4",1276,
1540115,37,"Childrens Education centre, Room No.4",1270,
1540116,37,"Government Higher Primary School, Vyayama Shale, Room No.1",1114,
1540117,37,"Government Higher Primary School, Vyayama Shale, Room No.2",1135,
1540118,37,"Government Higher Primary School, Vyayama Shale, Room No.3",1232,
1540119,37,"L.C.R.English Nursery and Primary School, Room No.1",1357,
1540120,37,"L.C.R.English Nursery and Primary School, Room No.2",1344,
1540121,37,"L.C.R.English Nursery and Primary School, Room No.3",1281,
1540122,37,"Rajarajeshwari English School,Room No.1",1119,
1540123,37,"Rajarajeshwari English School,Room No-2",1370,
1540124,37,"Rajarajeshwari English School,Room No-3",1096,
1540125,17,"Vidya Vaibhav School,  Room No-1",1452,
1540126,37,"Sri Ananda Social Education Society,Room No-1",1081,
1540127,37,"Sri Ananda Social Education Society,Room No-2",1312,
1540128,37,"Sri Ananda Social Education Society,Room No-3",1139,
1540129,37,"Sri Ananda Social Education Society,Room No-4",1278,
1540130,37,"Sri Ananda Social Education Centre,Room No-5",1376,
1540131,37,"Sri. Ananda Social Education Society,Room No-6",1407,
1540132,37,"BBMP Community Hall, B.K.Nagar, Room No.1",1331,
1540133,37,"BBMP Community Hall, B.K.Nagar, Room No.2",687,
1540134,37,"BBMP Community Hall, B.K.Nagar, Room No.3",982,
1540135,37,"BBMP Community Hall, B.K.Nagar, Room No.4",1439,
1540136,37,"Government Higher Primary School, Vyayama Shale Yeshwanthapur Room No.4",1392,
1540137,37,"Divine English School, Room No-1",1420,
1540138,37,"Divine English School,Room No-2",1056,
1540139,37,"Divine English School,Room No-3",1453,
1540140,37,"Matha English Nursery & Primary School, Room No-1",1253,
1540141,37,"Matha English Nursery & Primary School, Room No-2",1344,
1540142,37,"Matha English Nursery & Primary School, Room No-3",1287,
1540143,37,"B B M P Ward Office,Room No-1",879,
1540144,37,"B B M P Tailoring Centre,Room No-1",1119,
1540145,17,"Government Higher Primary School, Room No-1",755,
1540146,17,"BBMP Girls High School and Junior College,Room No-1",872,
1540147,17,"BBMP Girls High School and Junior College,Room No-2",1284,
1540148,17,"BBMP Girls High School and Junior College,Room No-3",1093,
1540149,17,"BBMP Girls High School and Junior College, Room No-4",1406,
1540150,17,"BBMP Girls High School and Junior College,Room No-5",1319,
1540151,17,"Government Higher Primary School , Room No.2",1047,
1540152,37,"BBMP Nursery and Primary School, Room No-1",989,
1540153,37,"BBMP Nursery and Primary School, Room No.2",935,
1540154,37,"BBMP Nursery and Primary School, Room No.3",821,
1540155,42,"R V S Kannada English Primary School, Room No-1",1303,
1540156,42,"R V S Kannada English Primary School, Room No-2",1224,
1540157,42,Carmel Garden School Room No 1,940,
1540158,42,Carmel Garden School Room No  2,1242,
1540159,42,Carmel Garden School Room No 3,1265,
1540160,69,BETHEL MEDICAL MISSION  Room No.1,1345,
1540161,69,BETHEL MEDICAL MISSION  Room No.2,1349,
1540162,69,Bethel Medicle Machine Room No.3,1346,
1540163,69,BETHEL MEDICAL MISSION  Room No.4,1246,
1540164,69,"Govt.Junior Primary School, Room No-1, Lakshmidevinagara, Laggere-560058",1265,
1540165,69,"Govt, Junior Primary School, Room No-2, Lakshmidevinagaram, Laggere-560058",1097,
1540166,69,"Govt, Junior Primary School, Room No-3, Lakshmidevinagara, Laggere, Bangalore-560058",1422,
1540167,42,"R V S Kannada English Primary School, Room No-3",1221,
1540168,42,"R V S Kannada English Primary School, Room No 4,",976,
1540169,42,"Holi Mother Convent English School, Room No-1",1410,
1540170,42,"Holi Mother Convent English School, Room No-2",1095,
1540171,42,"Holi Mother Convent English School, Room No-3",1145,
1540172,42,"Holi Mother Convent English School, Room NO.4",1306,
1540173,42,"Govt. Higher Primary School, Room No-1 JAI BHUVANESHWARI NAGAR",1382,
1540174,42,"Govt. Higher Primary School, Room giNo-2, Jai Bhuvaneshwarinagara",1353,
1540175,42,"Govt. Higher Primary School, Room No-3, Jai Bhuvanveshwarinagara",1405,
1540176,42,"Govt. Higher Primary School, Room No-4",1100,
1540177,42,"Govt. Higher Primary School, Room No-5",1154,
1540178,42,"Govt. Higher Primary School, Room No-6",969,
1540179,69,"Govt, Junior Primary School Room No 4, Lakshmidevinagara, Laggere, Bangalore-560058",1331,
1540180,69,"Sri Jnanavardhaka English School, Room No-1, No.102, Lavakushanagara, L G Ramanna Layout, Laggere, Bangalore-560058",1442,
1540181,69,"Sri Jnanavardhaka English School, Room No-2, No.102, Lavakushanagara, L G Ramanna Layout, Laggere, Bangalore-560058",1471,
1540182,69,"Sri Jnanavardhaka English School, Room No-3, No.102, Lavakushanagara, L G Ramanna Layout, Laggere, Bangalore-560058",1426,
1540183,69,"Aniketana Kishore Kendra, English Medium high School, Room No-1, No.65 Laggere Main Road Muneshwara Layout, Bangalore-560058",1490,
1540184,69,"Aniketana Kishore Kendra, English Medium high School, Room No-2, No.65 Laggere Main Road Muneshwara Layout, Bangalore-560058",1459,
1540185,69,"Aniketana Kishore Kendra, English Medium high School, Room No-3, No.65 Laggere Main Road Muneshwara Layout, Bangalore-560058",1369,
1540186,69,"Nammura Govt Model Primary School, New Builiding Room No-1, Muneshwara Layout, Laggere Main Road, Laggere, Bangalore-560058",1495,
1540187,69,"Sri Sharadha Vidya Mandira Room No.1, L G Ramanna Layout, Laggere, Bangalore-560058",1345,
1540188,69,"Sri Sharadha Vidya Mandira Room No.2, L G Ramanna Layout, Laggere, Bangalore-560058",1265,
1540189,69,"Sri Jnanavardhaka English School, Room No-4, No.102, Lavakushanagara, L G Ramanna Layout, Laggere, Bangalore-560058",1472,
1540190,69,"Nammura Govt Model Primary School, Room No-2, New Building Muneshwara Layout, Laggere, Bangalore-560058",1187,
1540191,69,"Nammura Govt Model Primary School, Room No-3, New Building Muneshwara Layout, Laggere, Bangalore-560058",1034,
1540192,69,"Nammura Govt Model Primary School, Room No-4, New Building Muneshwara Layout, Laggere, Bangalore-560058",1321,
1540193,69,"Nammura Govt Model Primary School, Room No-5, New Building Muneshwara Layout, Laggere, Bangalore-560058",1272,
1540194,69,"Nammura Govt Model Primary School, Room No-6, New Building Muneshwara Layout, Laggere, Bangalore-560058",1274,
1540195,69,"Nammura Govt Model Primary School, Room No-7, New Building Muneshwara Layout, Laggere, Bangalore-58",1268,
1540196,69,"Nammura Govt Model Primary School, Room No-8, New Building Muneshwara Layout, Laggere, Bangalore-58",1382,
1540197,69,"Nammura Govt Model Primary School, Room No-9, New Building Muneshwara Layout, Laggere, Bangalore-58",1412,
1540198,69,"Govt Higher Primary School, Room No-9, New Building Muneshwara Layout, Laggere, Bangalore-58",1432,
1540199,69,"Mount Senoriya School, Room No-1, No.82, F F Layout, Laggere, Bangalore-560058",1442,
1540200,69,"Nammura Govt. Higher Primary School, Room No-1, Rajiv Gandhinagara, Laggere, Bangalore-58",1231,
1540201,69,"Mount Senoriya School, Room No-2, No.82, F F Layout, Laggere, Bangalore-560058",1435,
1540202,69,"Sophiya School, Room No-1, No.232, Kempegowda Layout, Laggere, Bangalore-560058",1452,
1540203,69,"Sophiya School, Room No-2, No.232, Kempegowda Layout, Laggere, Bangalore-560058",1432,
1540204,69,"Narayana E-Techno School, Room No-1, Kempegowda Layout, Laggere, Bangalore-560058",1457,
1540205,69,"Narayana E-Techno School, Room No-2, Kempegowda Layout, Laggere, Bangalore-560058",1422,
1540206,69,"Narayana E-Techno School, Room No-3, Kempegowda Layout, Laggere, Bangalore-560058",1433,
1540207,69,"Vedantha National Public School, Room No-1, No.9, Rajeev Gandhinagara, Laggere, Bangalore-560058",1158,
1540208,69,"Vedantha National Public School, , Room No-2, No.9, Rajeev Gandhinagara, Laggere, Bangalore-560058",1005,
1540209,69,"Vedantha National Public School, Room No-3, No.9, Rajeev Gandhinagara, Laggere, Bangalore-58",1220,
1540210,73,"Rajeev Gandhi Public School, Room No-1, Rajeev Gandhi Nagar, Laggere, Bangalore-560058",1328,
1540211,73,"Rajeev Gandhi Public School, Room No-2, Rajeev Gandhi Nagar, Laggere, Bangalore-560058",1141,
1540212,73,"Vidyapriya Kannada Primary School Room No 1, Chowdeshwarinagara, Laggere, Bangalore-58",1364,
1540213,73,"Vidyapriya Kannada Primary School Room No 2, Chowdeshwarinagara, Laggere, Bangalore-58",1420,
1540214,69,"Nammura Governoment higher, Primary School ,  Room No.2  Rajeevgandhi Nagara, Laggere Bangalore-58",1286,
1540215,69,"Nammura Govt Higher Primary School, Room No-3, Rajeev Gandhinagara, Laggere, Bangalore-560058",1404,
1540216,69,"Nammura Govt Higher Primary School, Room No-4, Rajeevgandhinagara, Laggere, Bangalore-560058",1385,
1540217,73,"Apolo National Public School, Room No.1 Chowdeshwari nagara, Laggere Bangalore-560058",1343,
1540218,73,"Apolo National Public School, Room No.2 Chowdeshwari nagara, Laggere Bangalore-560058",1274,
1540219,73,"Apolo National Public School, Room No.3 Chowdeshwari nagara, Laggere Bangalore-560058",1291,
1540220,73,"Saraswathi Vidya Samsthe Room No.1, No.04, Chowdeshwarinagara, Laggere, Bangalore-58",1344,
1540221,73,"Saraswathi Vidya Samsthe Room No 2, No.04, Chowdeshwarinagara, Laggere, Bangalore-58",775,
1540222,73,"Saraswathi Vidya Samsthe Room No 3, No.04, Chowdeshwarinagara, Laggere, Bangalore-58",991,
1540223,73,"Elite Public School, Room No-1, Kempegowda Layout, Laggere, Bangalore-560058",1401,
1540224,73,"Elite Public School, Room No-2, Kempegowda Layout, Laggere, Bangalore-560058",1405,
1540225,73,"Doddanna Vidya Samsthe, Room No-1, No.10/14, Magadi Main Road, Sunkadakatte, Bangalore-560091",1441,
1540226,73,"Doddanna Vidya Samsthe, Room No-2, No.10/14,Magadi Main Road, Sunkadakatte, Bangalore-560091",1359,
1540227,73,"Vidyaniketan Public School, Room No-1 No.84/11, Sunkadakatte Bangalore-560091",1155,
1540228,73,"Vidyaniketan Public School, Room No-2 No.84/11, Sunkadakatte Bangalore-560091",1405,
1540229,73,"Govt. Higher Primay School, Room No-1 No.85/3, Sunkadakatte, Near Sollapuradamma Temple, Bangalore-560091",1357,
1540230,73,"Govt. Higher Primay School, Room No-2,No.85/3, Sunkadakatte, Near Sollapuradamma Temple, Bangalore-560091",1367,
1540231,73,"Doddanna Vidya Samsthe, Room No-3, No.10/14,Magadi Main Road, Sunkadakatte, Bangalore-560091",1337,
1540232,73,"Anibesent Convent and Highschool, Room No-1, No.98, 12th Main Road,  Srinivasanagara, Sunkadakatte, Bangalore-560091",1402,
1540233,73,"Anibesent Convent and Highschool, Room No-2, No.98, 12th Main Road,  Srinivasanagara, Sunkadakatte, Bangalore-560091",1173,
1540234,73,"Anibesent Convent and Highschool, Room No-3, No.98, 12th Main Road,  Srinivasanagara, Sunkadakatte, Bangalore-560091",802,
1540235,73,"Anibesent Convent and Highschool, Room No-4, No.98, 12th Main Road,  Srinivasanagara, Sunkadakatte, Bangalore-560091",1264,
1540236,73,"Dodddanna VIdya Samsthe, Room No-4,No.10/14, Magadi Main Road, Sunkadakatte, Bangalore-560091",1402,
1540237,73,"Dodddanna VIdya Samsthe, Room No-5, No.10/14,Magadi Main Road, Sunkadakatte, Bangalore-560091",1225,
1540238,73,"Dodddanna VIdya Samsthe, Room No-6,No.10/14, Magadi Main Road, Sunkadakatte, Bangalore-560091",1357,
1540239,73,"Anibesent Convent and High school, Room No-5, No.98, 12th Main Road,  Srinivasanagara, Sunkadakatte, Bangalore-560091",989,
1540240,73,"Assistent.Revenue Office, Sajje Palya, Room No-1, Bangalore-560091",859,
1540241,73,"Assistent.Revenue Office, Sajje Palya, Room No-2, Bangalore-560091",805,
1540242,73,"Govt.Primary School, Room No-1, Kottigepalya, Bangalore-91",1271,
1540243,73,"Nobel High School, Room No-1, No.54/27, 1st Main Road, Kottigepalya, Bangalore-560091",1447,
1540244,73,"S.V.Public School, Room No-1, No.53/1, 1st Main Road, Kottigepalya, Bangalore-560091",1445,
1540245,73,"S.V.Public School, Room No-2, No.53/1, 1st Main Road, Kottigepalya, Bangalore-560091",1403,
1540246,73,"Govt. Primary School, Room No.2, Kottigepalya, Bangalore-91",1199,
1540247,73,"EuroKids Pre-School Room No-1, No.83, 1st Block, Nagarabhavi 2nd Stage, Bangalore-560072",1343,
1540248,73,"Anganavadi Kendra Room No-1, Sajjepalya, Bangalore-560091",1100,
1540249,73,"Anganavadi Kendra Room No-2, Sajjepalya, Bangalore-560091",1201,
1540250,129,"Govt. Higher Primary School, Room No-1",1214,
1540251,129,"Govt. Higher Primary School, Room No-2",861,
1540252,129,"Govt. Higher Primary School, Room No-3",885,
1540253,129,"Govt. Higher Primary School, Room No-4",1328,
1540254,129,"Govt. Higher Primary School, Room No-5",841,
1540255,129,"Govt. Higher Primary School, Room No-6",667,
1540256,129,"Shanthidhama P.U.College, Room NO-1",1408,
1540257,129,"Govt Lower Primary School, Room No-1",1150,
1540258,129,"Govt Lower Primary School, Room No-2",568,
1540259,129,"Shanthidhama P.U.College, Room NO-2",1169,
1540260,129,"Shanthidhama P.U.College, Room NO-3",770,
1540261,129,"Swarna Jyothi Vidhya Kendhra, Room No-1",1033,
1540262,129,"Swarna Jyothi Vidhya Kendhra, Room No-2",903,
1540263,129,"Swarna Jyothi Vidhya Kendhra, Room No-3",1332,
1540264,129,"St Josephine Public School, Room No-1",1043,
1540265,129,"St Josephine Public School, Room No-2",802,
1540266,129,"St Josephine Public School, Room No-3",1220,
1540267,129,"Chandana Vidya Samsthe, Room No-1",1100,
1540268,129,"Chandana Vidya Samsthe, Room No-2",1094,
1540269,129,"Chandana Vidya Samsthe, Room No-3",839,
1540270,129,"Chandana Vidya Samsthe, Room No-4",1310,
1540271,129,"Chandana Vidya Samsthe, Room No-5",1369,
1540272,129,"Chandana Vidya Samsthe, Room No-6",1374,
1540273,129,"Little Lilly's Public School, Room No-1",1414,
1540274,129,"Little Lilly's Public School, Room No-2",1429,
1540275,73,"Saint Josephs High School, Room No-1, Sumanahalli Kendra, Malagala Main Road,Bangalore-560091",1344,
1540276,73,"Saint josephs High School, Room No-3, Sumanahalli Kendra, Malagala Main Bangalore-560091",1099,
1540277,73,"Saint Josephs High School, Room No-2, Sumanahalli Kendra, Malagala Main Road,Bangalore-560091",1346,
1540278,73,"Nammura Sarkari Hiriya Prathamika Shale, Room No.1 Malagala, Bangalore-560072",1287,
1540279,73,"Nammura Sarkari Hiriya Prathamika Shale, Room No.2 Malagala, Bangalore-5600722",693,
1540280,73,Arvin Vidhyamandira Room No-01,468,
1540281,73,"Arvin Vidhyamandira Room No-2,",1339,
1540282,73,"K.L.E. Samsthe. Room No-1,",1028,
1540283,73,K.L.E. Samsthe. Room No-02,824,
1540284,73,"Balavikas International School, Room No-1,",1198,
1540285,73,"Balavikas International School, Room No-2,",1249,
1540286,73,"Renuka National Public School,Room No -01",1149,
1540287,73,"Renuka National Public School,Room No 02",1250,
1540288,73,"Renuka National Public School,  Room No 03",1140,
1540289,73,"Renuka National Public School, Room No -04",1269,
1540290,73,"NRI Institute, Room No-1,",1061,
1540291,73,"NRI Institute, Room No-2,",1250,
1540292,73,"NRI Institute, Room No-3,",1138,
1540293,73,"NRI Institute, Room No-4,",1243,
1540294,73,"NRI Institute, Room No-5,",1107,
1540295,129,"Govt.Primary School, Room No-1",1514,
1540296,129,"Govt.Primary School, Room No-2",1583,
1540297,129,"Govt.Primary School, Room No-3",1574,
1540298,129,"Govt.Primary School, Room No-4",1586,
1540299,129,"Kanya Kumari High School, Room No-1",1469,
1540300,129,"Kanya Kumari High School, Room No-2",1609,
1540301,129,"Kanya Kumari High School, Room No-3",1474,
1540302,129,"Kanya Kumari High School, Room No-4",1358,
1540303,129,"Kanya Kumari High School, Room No-5",1420,
1540304,129,"Kanya Kumari High School, Room No-6",1437,
1540305,129,"Govt. Higher Primary School, Room No-1",1396,
1540306,129,"Govt. Higher Primary School, Room No-2",1519,
1540307,129,"Govt. Higher Primary School, Room No-3",1580,
1540308,129,"J.E.S Public School, Room No 1",1384,
1540309,129,"J.E.S Public School, Room No 2",1082,
1540310,129,"J.E.S Public School, Room No 3",1347,
1540311,129,"P V P High School, Room No-1",1482,
1540312,129,"P V P High School, Room No-2",1311,
1540313,129,"P V P High School, Room No-3",1196,
1540314,129,"P V P High School, Room No-4",1464,
1540315,129,"P V P High School, Room No-5",1326,
1540316,129,"Saroja Memorial Engalish School,  Room No-1",1447,
1540317,129,"Saroja Memorial Engalish School,  Room No-2",1425,
1540318,129,"Saroja Memorial Engalish School,  Room No-3",1206,
1540319,129,"Saroja Memorial Engalish School,  Room No-4",1065,
1540320,129,"Saroja Memorial Engalish School,  Room No-5",1293,
1540321,129,"Saroja Memorial Engalish School,  Room No-6",1114,
1540322,129,"HMR International Public School, Room No-1",1477,
1540323,129,"HMR International Public School, Room No-2",1025,
1540324,129,"HMR International Public School, Room No-3",877,
1540325,160,"Govt Higher Primary School, Room No-1",1282,
1540326,160,"B.W.S.S.B. Quatres Office,Room.No.1,",1167,
1540327,160,"B.W.S.S.B. Quatres Office,Room.No.2,",1331,
1540328,160,"Sri Sharadambha VidhyaNiketan, Room No-1",1446,
1540329,160,"Sri Sharadambha VidhyaNiketan, Room No-2",895,
1540330,160,"Sri Sharadambha VidhyaNiketan, Room No-3",1255,
1540331,160,"Sri Sharadambha VidhyaNiketan, Room No-4",1143,
1540332,160,"Sharada Public School, Room No-1",1688,
1540333,160,"Sharada Public School, Room No-2",1445,
1540334,160,"Sharada Public School, Room No-3",864,
1540335,160,"Rajarajeshwari Vidhyasale, Room No-1",1172,
1540336,160,"Rajarajeshwari Vidhyasale, Room No-2",956,
1540337,160,"Rajarajeshwari Vidhyasale, Room No-3",1453,
1540338,129,"Govt.Primary School, Room No-1",957,
1540339,129,"Govt.Primary School, Room No-2",794,
1540340,160,"Rajarajeshwari Vidhyasale, Room No-4",1296,
1540341,160,"Rajarajeshwari Vidhyasale, Room No-5",1247,
1540342,160,"Rajarajeshwari Vidhyasale, Room No-6",1184,
1540343,160,"Mount Cormel English School,   Room No-1",1411,
1540344,160,"Mount Cormel English School,   Room No-2",1442,
1540345,160,"Mount Cormel English School,   Room No-3",1164,
1540346,160,"Mount Cormel English School,   Room No-4",1651,
1540347,160,"Mount Cormel English School,   Room No-5",1585,
1540348,160,"Govt. Higher Primary School, Room No-1",1256,
1540349,160,"Govt. Higher Primary School, Room No-2",1268,
1540350,160,"Govt. Higher Primary School, Room No-3",1179,
1540351,160,"Govt. Higher Primary School, Room No-4",1520,
1540352,160,"B.E.T. School, Room No-1",1418,
1540353,160,"B.E.T. School, Room No-2",1344,
1540354,160,"B.E.T. School, Room No-3",1419,
1540355,160,"B.E.T. School, Room No-4",1320,
1540356,160,"B.E.T. School, Room No-5",1479,
1540357,160,"B.E.T. School, Room No-6",1551,
1540358,160,"B.E.T. School, Room No-7",1119,
1540359,160,"B.E.T. School, Room No-8",1365,
1540360,160,"B.E.T. School, Room No-9",1354,
1540361,160,"B.E.T. School, Room No-10",1421,
1540362,160,"New Horizon Public School, Room No-1",1460,
1540363,160,"New Horizon Public School, Room No-2",1378,
1540364,160,"New Horizon Public School, Room No-3",954,
1540365,160,"New Horizon Public School, Room No-4",1324,
1540366,160,"New Horizon Public School, Room No-5",1454,
1540367,160,"New Horizon Public School, Room No-6",1164,
1540368,160,"New Horizon Public School, Room No-7",1388,
1540369,160,"B.E.T. School, Room No-11",1404,
1540370,160,"B.E.T. School, Room No-12",1285,
1540371,160,"Govt. Higher Primary School,Room No-1",1153,
1540372,160,"Govt. Higher Primary School,Room No-2",1107,
1540373,160,"Govt. Higher Primary School,Room No-3",1336,
1540374,160,"Govt. Higher Primary School,Room No-4",1084,
1540375,160,"Govt. Higher Primary School,Room No-5",1011,
1540376,160,"RNS Institute Of Technology, Room No-1",1260,
1540377,160,"RNS Institute Of Technology, Room No-2",1420,
1540378,160,"RNS Institute Of Technology, Room No-3",1401,
1540379,160,"RNS Institute Of Technology, Room No-4",1433,
1540380,160,"RNS Institute Of Technology, Room No-5",1182,
1540381,160,"RNS Institute Of Technology, Room No-6",1301,
1550001,999,"Govt Lower Primary School, Room No 1, Ganigarahalli",1140,
1550002,999,"Govt Lower Primary School, Room No 2, Ganigarahalli",1076,
1550003,999,"Govt Lower Primary School, Room no 1, Somashettihalli",1268,
1550004,999,"Govt Lower Primary School, Room no 2, Somashettihalli",1247,
1550005,999,"Govt. Higher Primary School, Room No 1,lakshmipura",1090,
1550006,999,"Govt. Higher Primary School , Room No 2,lakshmipura",1030,
1550007,999,"Govt. Higher Primary School , Room No 3,lakshmipura",1124,
