Part,Ward,Booth Address,Total,
1500095,999,"Govt Higher Primary School, Matthahalli Room no.2",711,
1500096,999,"Govt Lower Primary School, Room.No.1, Hurulichikkanahalli",925,
1500097,999,"Govt Lower Primary School, Room.No.2, Hurulichikkanahalli",1096,
1500098,999,Sacred heart PU college Kasagattapura Room No-1,737,
1500099,999,Sacred heart PU college Kasagattapura Room No-2,1027,
1500100,999,"Govt Lower Primary School, Kalathammanahalli",621,
1500101,3,"Nammura Govt Higher Primary School, Room.No.1, Attur",1252,
1500102,3,"Nammura Govt Higher Primary School, Room.No.2, Attur",1526,
1500103,3,"Nammura Govt Higher Primary School, Room.No.3, Attur",1350,
1500104,3,"Nammura Govt Higher Primary School , Room No-4, Attur",1400,
1500105,999,"Govt Lower Primary School, Room.No.1, Veerasagara",973,
1500106,999,"Govt Lower Primary School, Room.No.2, Veerasagara",987,
1500107,1,"Govt Lower Primary School, Room.No.1, Venkatala",1004,
1500108,1,"Govt Lower Primary School, Room.No.2, Venkatala",1174,
1500109,1,"Govt. Lower Primary School, Room No.3, Venkatala",1070,
1500110,1,"Bhuvana intutition School,venkatala yelahanka Room.No.1, NH7",1080,
1500111,1,"Bhuvana Intuition School,venkatala yalahanka Room.No.2, NH7",1230,
1500112,1,G S Saint Sufi English School Maruthinagara Room No-1,1309,
1500113,1,G S Saint Sufi English School Maruthinagara Room No-2,1148,
1500114,1,Ramakrishna memorial Kannada Primary and High School Maruthinagar Room No-1,1208,
1500115,1,Ramakrishna memorial Kannada Primary and High School Maruthinagar Room No-2 Yelahanka,1079,
1500116,1,Ramakrishna memorial Kannada Primary and High School Maruthinagar Room No-3 Yelahanka,1191,
1500117,1,Ramakrishna memorial Kannada Primary and High School Maruthinagar Room No-4 Yelahanka,1388,
1500118,1,Ramakrishna memorial Kannada Primary and High School Maruthinagar Room No-5 Yelahanka,1215,
1500119,1,"G S Saint Sufi English School,Maruthinagara Room No-3",1486,
1500120,1,"G S Sent Saint English School, Maruthinagara Room No-4",1372,
1500121,2,"Gnana Bharathi Public School, Room.No.1, Kamakshamma Layout",1019,
1500122,2,"Gnanabharathi Public School, Room.No.2, Kamakshamma Layout",1096,
1500123,2,"Govt Urdu Higher Primary School, Room.No.1, Yelahanka",1136,
1500124,2,"Govt Urdu Higher Primary School, Room.No.2, Yelahanka",1024,
1500125,2,"Govt Urdu Higher Primary School, Room.No.3, Yelahanka",1029,
